queries,responses,page_contents,sources
What kind of educational resources or support groups are available for diabetes patients?,"You can seek educational resources and support groups for diabetes patients through various channels. You may consider joining the typeOne.sg Facebook Group, reaching out to AIC Care Services, or contacting the National Council of Social Service. Additionally, you can speak to healthcare professionals such as endocrinologists or diabetes educators for more in-depth information and support. It's important to collaborate with healthcare providers to develop an individualized care plan and set achievable lifestyle targets.",Supporting  individuals with  diabetes 2,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How often should patients with diabetes follow up with their healthcare team for monitoring and adjustments?,"Patients with diabetes should follow up with their healthcare team for monitoring and adjustments based on their individual circumstances. Generally, it is recommended to review parameters every six months if the patient is doing well and meeting their treatment goals, and every three months if they are not doing well or finding it challenging to achieve their treatment goals. Additionally, follow-up consultations may be needed earlier as required, such as when starting, adjusting, or stopping a medication. It is important to discuss with your healthcare team to determine the appropriate frequency of follow-up consultations for your specific needs.",". Review parameters and frequency Tailor the frequency of follow-up consultations. For example, review: • every six months if the patient is doing well and meeting their agreed treatment goals • every three months if the patient is not doing well or finding it challenging to achieve their treatment goals • earlier as required, e.g., when starting, adjusting or stopping a medication. Review parameters include HbA 1c, blood pressure, weight, BMI, lipid profile, kidney parameters (such as eGFR  and urinary albumin:creatinine ratio), smoking, eye and foot assessments. Complication screening should be  conducted at least annually (e.g., kidney, eye and foot assessments).  Local programs may provide useful resources and frameworks to facilitate regular reviews for patients with  T2DM, such as the Chronic Disease Management Programme or Healthier SG Care Protocols",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
Are there any preventive measures or early interventions that can be taken to avoid diabetes complications?,"Yes, there are preventive measures and early interventions that can be taken to avoid diabetes complications. For individuals with pre-diabetes, it is important to adopt lifestyle changes such as regular exercise and a healthy diet to prevent or delay the onset of type 2 diabetes mellitus (T2DM) and cardiovascular disease (CVD). Additionally, women with pre-existing diabetes should follow stringent measures for tighter glycaemic control and undergo screening for complications like eye checks. Tailoring lifestyle interventions to individual needs and considering individual patient circumstances are also important factors in managing diabetes and preventing complications.",BE AWARE What can I do to manage diabetes? 17,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-01-BeAware.pdf
What are some effective strategies for encouraging lifestyle changes and adherence to treatment plans?,"Some effective strategies for encouraging lifestyle changes and adherence to treatment plans include tailoring lifestyle interventions to individual needs, reinforcing behavioral changes by encouraging a regular log of exercise, physical condition, work nature, diet, and weight. It is also important to set specific goals, identify and work around potential barriers, involve other healthcare professionals as necessary, and engage the patient in a cycle of regular reviews to monitor progress and provide support. Additionally, providing written information to reinforce verbal instructions can be helpful in promoting adherence to treatment plans.","Recommendation  6Educate patients with T2DM on sustained lifestyle intervention, medication  adherence, and regular review. Education regarding T2DM management should be specific and relevant to the patient . Examples of practice  tips are provided below. Where helpful, reinforce verbal information with written information. Regular consultations provide planned opportunities to review the patient’s progress (see Recommendation 7 on page 11).Engage the patient in a cycle of regular reviews Explain the reason for regular reviews and clarify what they involve. Involve other healthcare professionals as necessary. Ask the patient to self-monitor their blood glucose levels if deemed useful as part of their T2DM management. Acknowledge and affirm any improvements, and encourage persistence in areas that still require attention.A local study reported poor medication adherence in 35% of patients with newly diagnosed diabetes",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
How can healthcare professionals address barriers or challenges faced by diabetes patients in managing their condition?,"Healthcare professionals can address barriers or challenges faced by diabetes patients in managing their condition by engaging the patient in regular reviews and education. They should explain the reason for regular reviews, involve other healthcare professionals as necessary, and ask the patient to self-monitor their blood glucose levels if deemed useful. Additionally, healthcare professionals should acknowledge and affirm any improvements, encourage persistence in areas that still require attention, and provide specific and relevant education on T2DM management. By working closely with patients and providing support, healthcare professionals can help patients overcome barriers and effectively manage their diabetes.","Recommendation  6Educate patients with T2DM on sustained lifestyle intervention, medication  adherence, and regular review. Education regarding T2DM management should be specific and relevant to the patient . Examples of practice  tips are provided below. Where helpful, reinforce verbal information with written information. Regular consultations provide planned opportunities to review the patient’s progress (see Recommendation 7 on page 11).Engage the patient in a cycle of regular reviews Explain the reason for regular reviews and clarify what they involve. Involve other healthcare professionals as necessary. Ask the patient to self-monitor their blood glucose levels if deemed useful as part of their T2DM management. Acknowledge and affirm any improvements, and encourage persistence in areas that still require attention.A local study reported poor medication adherence in 35% of patients with newly diagnosed diabetes",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
Are there any specialized diabetes care services or programs available in the community?,"Yes, there are specialized diabetes care services available in the community. You can seek help from organizations such as AIC Care Services, MOH Healthcare Schemes & Subsidies, and healthcare professionals listed on the MOH website. Additionally, you can join support groups like the typeOne.sg Facebook Group and reach out to the National Council of Social Service for assistance. For more information on diabetes-related care services, you can refer to the links provided in the articles.",Supporting  individuals with  diabetes 2,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How can patients access and coordinate care from different healthcare professionals involved in their diabetes management?,"Patients can access and coordinate care from different healthcare professionals involved in their diabetes management by engaging in interdisciplinary care. This involves involving various healthcare professionals with complementary expertise to provide holistic care to the patient. It is important for the primary care clinician to coordinate this interdisciplinary care to avoid confusion, duplication, or gaps in care. Patients should also be encouraged to ask questions, be actively involved in their T2DM management, and receive complementary care from multiple healthcare professionals. It is essential to gauge the patient's interest and motivation to engage in self-management and ensure that proposed follow-up plans are feasible and sustainable for the patient.",". Interdisciplinary care Consider involving various healthcare professionals with complementary expertise to provide holistic care  to the patient. For patients with diabetes, interdisciplinary care has been associated with improvements in  patient outcomes (e.g., improved glycaemic control, reduction in blood pressure and lipid levels, improved  quality of life) or processes of care (e.g., increased monitoring and complication screening).58,59 Importantly,  interdisciplinary care must be coordinated (e.g., by the primary care clinician) to avoid confusion, duplication or  gaps in care",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
What are some emerging trends or advancements in diabetes care that healthcare professionals are adopting?,"Healthcare professionals are increasingly adopting personalized management of Type 2 diabetes mellitus by selecting non-insulin medications based on patient comorbidities and risk factors, particularly cardiovascular and renal factors. This approach aims to optimize the management of diabetes and improve patient outcomes. Additionally, interdisciplinary care involving various healthcare professionals with complementary expertise is being utilized to provide holistic care to patients with diabetes, leading to improvements in patient outcomes and processes of care.",". Interdisciplinary care Consider involving various healthcare professionals with complementary expertise to provide holistic care  to the patient. For patients with diabetes, interdisciplinary care has been associated with improvements in  patient outcomes (e.g., improved glycaemic control, reduction in blood pressure and lipid levels, improved  quality of life) or processes of care (e.g., increased monitoring and complication screening).58,59 Importantly,  interdisciplinary care must be coordinated (e.g., by the primary care clinician) to avoid confusion, duplication or  gaps in care",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
What are some practical ways family and friends can learn more about diabetes to better support their loved ones?,"Family and friends can better support their loved ones with diabetes by accompanying them to diabetes education classes, being a good listener, learning about low blood sugar, and providing positive social support. It is important to avoid stigmatization and find ways to ease stress for individuals with diabetes. Additionally, staying informed about medication adherence, blood sugar monitoring, healthy eating habits, exercise, sleep patterns, stress management, problem-solving skills, and spirituality can also be beneficial in providing support.","1. Learn about diabetes Here are some key areas of diabetes  management:Myths and misinformation about diabetes are common. For those whose loved ones have diabetes, you can provide  better support if you have accurate information about the condition. Consider accompanying your loved ones if he or  she is attending a diabetes education class. •Medication adherence •Monitoring ofblood sugar •Eating habits/ diet •Exercise -stay active •Sleep patterns •Stress management •Skills forproblem -solving •Social support •Spirituality –healthy sense ofpurpose and meaning inlife 4",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How can caregivers be good listeners and have productive conversations about diabetes management?,"Caregivers can be good listeners and have productive conversations about diabetes management by asking open-ended questions such as ""Would you like to share with me what the hardest part of managing your diabetes is?"" and ""What can I do to help?"" It is important to avoid making judgmental statements and giving unsolicited advice. Additionally, caregivers can offer specific ways to help, such as setting up reminders for medications or accompanying their loved one to doctor visits. Active collaboration and shared decision-making between the patient, their family, and the healthcare professional team can also improve diabetes management.","2. Be a good listener •One of the most important things you can do to  help someone with diabetes is to listen to them.  •Avoid making judgmental statements, just focus on what they are saying. They are more likely to be open when they are not being judged. •Avoid giving advice, unless requested as unsought advice can damage your relationship.Here are some helpful questions you can ask  when talking about diabetes with your loved  ones: •Would you like to share with me what the  hardest part of managing your diabetes is? •What can I do to help? •Are there things I can do to help you make it easier to manage your diabetes (as your parent/spouse/friend/ colleague)? •Would it be useful for me to help you: Set up reminders to take your medications? Prick your fingers for monitoring blood sugar? Inject insulin? •Would you like me to take you or accompany you  to your doctor visits? 5",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Why is it important for caregivers to understand the signs and treatment of low blood sugar?,"It is important for caregivers to understand the signs and treatment of low blood sugar because people with diabetes can experience 'hypoglycaemia' or low blood sugar, which can be dangerous if not treated promptly. By being aware of the signs and knowing how to treat it, caregivers can provide timely assistance to those in need and help prevent any serious complications.","3. Learn what low blood sugar is •People with diabetes can  experience ‘hypoglycaemia’ or low blood sugar (blood sugar less than 4.0 mmol/L) when they use insulin or certain oral medications•Learn about the signs and symptoms of low blood sugar, how to treat it  when it happens, and how to prevent it from happening 6",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Can you suggest ways the whole family can make healthy lifestyle changes together to support the person with diabetes?,"One way the whole family can make healthy lifestyle changes together to support the person with diabetes is by stopping buying unhealthy snacks for the home and opting for healthier options. When eating out, make a decision to order healthier choices at hawker centers or restaurants. Additionally, you can check ahead when visiting someone's home to ensure there are healthy food and drink options available. It's important to discuss these choices with the host on behalf of your loved ones and avoid discussing it in front of the person with diabetes during the visit. Remember, your role is to support healthy choices, not to be the food police. It's okay to enjoy a piece of cake every now and then, but planning for such occasions and making healthier choices together as a family can make a positive impact on managing diabetes.","4. Do it together •For example, stop buying unhealthy snacks for the home. If you and your loved ones eat out at a hawker centre,  make a decision to order healthier options. If you are going to someone’s home, check ahead to help ensure there are healthy food and drink choices available. Discuss with the host on behalf of your loved ones, and avoid discussing it in front of the person with diabetes during the visit. •Your role is not to be the food police but to support healthy choices, which can include a piece of cake every now and then. Plan for such occasions and go ahead to enjoy together once in a while.•A diabetes diagnosis is a chance for everyone in the family to make lifestyle changes together to be healthier. 7",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
What tips do you have for helping a loved one with diabetes manage stress and ease diabetes distress?,"Some tips for helping a loved one with diabetes manage stress and ease diabetes distress include encouraging them to talk about their feelings and frustrations, doing activities together like walking, gardening, or watching a funny movie, attending a diabetes support group, using creative ways to manage stress, maintaining a positive mindset, and learning good problem-solving skills. It's important to be supportive and understanding of their unique emotional challenges related to living with diabetes.","5. Help ease stress •Too much stress can raise blood sugar levels and  make it harder to manage diabetes. Encourage your loved ones to talk about feelings and frustrations. •Try doing things together like walking, gardening, watching a funny movie or attending a diabetes support group. •Use creative ways to manage stress. •Manage life problems together, have a positive mindset, and learn good problem -solving skills. 8",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How can caregivers strike the right balance between being supportive and overstepping boundaries when it comes to diabetes management?,"Caregivers can strike the right balance by providing positive support to the person with diabetes while also respecting their autonomy and responsibility for managing their condition. It is important to give them space to reflect on their own and make mistakes without being overly controlling. Caregivers should be sensitive to signs of diabetes distress or burnout and gently encourage seeking help instead of blaming or scolding for poor management. Encouraging open communication, asking questions, and involving the person with diabetes in decision-making about their treatment can help maintain a supportive yet respectful relationship.","6. Know when to step back •Remember that the person with diabetes is responsible  for managing it, not you. Living with diabetes can be difficult. By having the positive support of family and friends, they are better able to make the best possible choices about their diabetes. •Sometimes less can be more. Know when to give your loved ones the space to reflect on their own, and make mistakes. Be sensitive if they are experiencing any diabetes distress or burnout from managing it. Learn what the signs are, and gently encourage them to seek help instead of blaming or scolding them for poor management. 9",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
What are some signs that a caregiver may be experiencing burnout or excessive stress from caring for someone with diabetes?,"Some signs that a caregiver may be experiencing burnout or excessive stress from caring for someone with diabetes include: - Irritability, frustration, anger - Low mood or depression - Changes in appetite (eating too much or not enough) - Significant weight loss or gain - Loss of memory, concentration, and difficulties completing tasks - Sleeping too much or too little - Stomach discomfort (e.g., nausea, constipation, diarrhea) - Headaches - Trembling - Profuse sweating  If you are experiencing any of these symptoms, it is important to talk with your doctor, nurse, or healthcare professional for further guidance and support. Remember to take care of yourself while caring for others.","Stress & Diabetes Signs that stress may be out of control &  further action is needed: ​ •Worries and anxious thoughts ​ •Irritability, frustration, anger​ •Low mood or depression​ •Changes in appetite (eating too much or not enough) ​ •Significant weight loss or gain ​ •Teeth grinding ​ •Loss of memory, concentration and difficulties completing tasks ​ •Sleeping too much or too little ​ •Stomach discomfort (e.g., nausea,  constipation, diarrhoea) ​ •Headaches ​ •Trembling ​ •Profuse sweating  95 If you are experiencing any of these symptoms, talk​ with your doctor, nurse or healthcare professional.​",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-02-BeHealthy.pdf
What self-care strategies would you recommend for caregivers to avoid burnout?,"To manage caregiver stress and avoid burnout, here are some self-care strategies you can consider:  1. Make use of respite care to take a break and recharge yourself before caring for others. 2. Join support groups, whether in hospitals, communities, or online, to connect with others who understand your situation. 3. Seek professional help from therapists, counselors, or spiritual advisors for additional support and guidance.  Remember to practice positive self-talk and remind yourself that you are doing your best with love and improving along the way. Take care of yourself so you can better care for others.","Practise self- care •Positive self -talk •Tell yourself daily that you  are helping the person in your care even if you do not do everything well; you are doing everything with love and you are improvingHow can I manage caregiver stress? Make use of respite care •Take a rest first so you are more able to care for othersJoin support groups •Hospital support groups •Community support groups •Online communities Seek professional help •From a therapist, counsellor or spiritual advisor 13",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Are there any local support groups or respite care services available for caregivers of diabetes patients?,"Yes, there are local support groups available for caregivers of diabetes patients. You can seek help from the National Council of Social Service or join support groups like the typeOne.sg Facebook Group. Additionally, you can make use of respite care services to help manage caregiver stress.",Supporting  individuals with  diabetes 2,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How can caregivers best approach seeking professional counseling or therapy if needed?,"Seeking professional counseling or therapy as a caregiver can be beneficial for managing stress and emotional well-being. You can reach out to therapists, counselors, or spiritual advisors for support. Additionally, joining support groups, both in hospitals, communities, or online, can provide a supportive network. Remember to prioritize self-care and seek respite care to ensure you are in a better position to care for others.","Practise self- care •Positive self -talk •Tell yourself daily that you  are helping the person in your care even if you do not do everything well; you are doing everything with love and you are improvingHow can I manage caregiver stress? Make use of respite care •Take a rest first so you are more able to care for othersJoin support groups •Hospital support groups •Community support groups •Online communities Seek professional help •From a therapist, counsellor or spiritual advisor 13",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Can you explain the different government subsidies available for outpatient diabetes care and treatment?,"Government subsidies for outpatient diabetes care and treatment may include subsidies available at public specialist outpatient clinics (SOCs), polyclinics, and CHAS GPs. These subsidies can help reduce the cost of consultations, medications, and other healthcare services related to diabetes. For more detailed information on specific government subsidies available for outpatient diabetes care, it is recommended to refer to the government subsidy pages or reach out to healthcare professionals for assistance.","How your outpatient bill may be covered 1.Government Subsidies Available at public specialist outpatient clinics (SOCs), polyclinics and CHAS GPs Refer to government subsidy pages for more information 2.Employee benefits/Private Medical Insurance (PMI) 3.MediSave/Chronic Disease Management Programme (CDMP) Refer to MediSave pages for more information 4.Out-of-pocket payment (OOP) This is determined after deducting government subsidies, available employee benefits and private medical insurance, and the amount that the patient wishes to deduct from MediSave 16",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
What are the eligibility criteria for the Community Health Assist Scheme (CHAS) subsidies at GP clinics?,"The eligibility criteria for the Community Health Assist Scheme (CHAS) subsidies at GP clinics include being a Singapore citizen, and meeting specific age and income requirements. Additionally, individuals with chronic conditions may also be eligible for CHAS subsidies.","^To receive subsidies for public SOC visits,  you will first need to be assessed and referred by a CHAS clinic or polyclinic. The doctor will refer you to a public SOC as a subsidised patient where eligible. *Children (18 years or younger) and  elderly (65 or older) already receive 75% subsidy for subsidised medications at the polyclinics #The AV of your home is the estimated  annual rent if it is rentedGovernment subsidies at subsidised specialist  outpatient clinics (SOCs) and polyclinics 18",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How does the Chronic Disease Management Programme (CDMP) help cover outpatient costs for diabetes using MediSave?,Patients can tap on the Chronic Disease Management Programme (CDMP) after certification by a doctor that they have diabetes or any of the other listed chronic conditions. They can then authorize the use of their MediSave through the Medical Claims Authorization Form to cover outpatient costs related to diabetes treatment.,MediSave for outpatient bills Patients can tap on CDMP after •Certification by a doctor that they have at least one of the listed chronic conditions •Authorising the use of MediSave through the Medical Claims Authorisation FormChronic Disease Management Programme (CDMP) 23 conditions for outpatient treatment •Diabetes (including pre -diabetes) •Hypertension •Lipid disorders •Stroke •Asthma •Chronic Obstructive Pulmonary Disease  (COPD) •Schizophrenia •Major depression •Bipolar disorder •Dementia •Osteoporosis•Benign Prostatic Hyperplasia (BPH) •Anxiety •Parkinson’s disease •Chronic kidney disease (nephrosis/ nephritis) •Epilepsy •Osteoarthritis •Psoriasis •Rheumatoid arthritis •Ischaemic heart disease •Allergic rhinitis •Chronic hepatitis B •Gout 23,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Are there any annual limits on the amount that can be claimed from MediSave for CDMP conditions like diabetes?,"Yes, there are annual limits on the amount that can be claimed from MediSave for Chronic Disease Management Programme (CDMP) conditions like diabetes. Patients who are 60 years old and above can use up to $300 per patient per year for the 15% co-payment under CDMP.","•Covers 23 chronic conditions •Requires 15% co -payment •Part of MediSave500/700, i.e., can use up to  $500 or $700 per year, depending on complexity of chronic conditionMediSave for outpatient bills Patients can tap on accounts of immediate family members (i.e., spouse, parents and  children) Patients who are SC/PR can tap on grandchildren’s and sibling’s MediSave•For patients ≥ 60 years old •Can be used for the 15% co -payment under  CDMP Patient’s own and spouse’s accounts may be used, provided spouse is also ≥ 60 years oldUp to $300 per patient per yearChronic Disease Management  Programme (CDMP)Flexi -MediSave 21",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
"For those with private insurance coverage, how can they optimize the use of employee benefits alongside government subsidies?","You can optimize the use of your private insurance coverage alongside government subsidies by first checking with your insurance provider to understand what benefits are covered. Then, you can utilize government subsidies available at public specialist outpatient clinics, polyclinics, and CHAS GPs to help reduce your out-of-pocket expenses. Be sure to refer to government subsidy pages for more information and work with your healthcare provider to maximize the benefits available to you.","How your outpatient bill may be covered 1.Government Subsidies Available at public specialist outpatient clinics (SOCs), polyclinics and CHAS GPs Refer to government subsidy pages for more information 2.Employee benefits/Private Medical Insurance (PMI) 3.MediSave/Chronic Disease Management Programme (CDMP) Refer to MediSave pages for more information 4.Out-of-pocket payment (OOP) This is determined after deducting government subsidies, available employee benefits and private medical insurance, and the amount that the patient wishes to deduct from MediSave 16",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Are there any financial assistance schemes available for low-income diabetes patients requiring costly treatments?,"You can seek financial assistance for diabetes treatments through MOH Healthcare Schemes & Subsidies. Additionally, you may also reach out to AIC Care Services for support with cost and affordability concerns. It is important to explore these options to ensure access to necessary treatments despite financial constraints.",Supporting  individuals with  diabetes 2,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
How can patients estimate their potential out-of-pocket costs for diabetes care and plan their budgets accordingly?,"Patients can estimate their potential out-of-pocket costs for diabetes care by considering factors such as medication costs, doctor's visits, lab tests, and any other necessary supplies. It is important to check with your healthcare provider or insurance company to understand what is covered and what you may need to pay for. Planning a budget accordingly can help patients manage their diabetes care effectively.",".g., in Scenario 2, it is worth clarifying the patient’s  circumstances and preferences in relation to the cost of treatment).*These scenarios draw on some of the factors highlighted in Figure 1; these factors were chosen as examples and do not include all possible considerations.For example, consider two hypothetical scenarios involving two 55-year-old patients newly diagnosed with T2DM. SCENARIO 1* SCENARIO 2* Nothing remarkable (besides T2DM) No notable issues No notable issuesCurrent HbA 1c: 7.8%; target: ≤7.0% No T2DM symptoms No signs of T2DM complicationsCurrent HbA 1c: 7.8%; target: ≤7",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
What resources are available to help patients understand and navigate the various financing options for diabetes treatment?,"Patients can seek help from various resources such as the AIC Care Services, MOH Healthcare Schemes & Subsidies, and the National Council of Social Service. They can also reach out to the National Care Hotline at 1800-202-6868 for assistance in understanding and navigating the financing options for diabetes treatment. Additionally, speaking to an endocrinologist or healthcare professional can provide more in-depth information and guidance on this matter.",Supporting  individuals with  diabetes 2,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
Are there any community programs that provide education on financial planning for chronic disease management?,I'm not sure about specific community programs that provide education on financial planning for chronic disease management. It's always a good idea to check with local healthcare providers or organizations that specialize in chronic disease management for more information on available resources in your area. They may be able to provide guidance on financial planning and support services tailored to your needs.,MediSave for outpatient bills Patients can tap on CDMP after •Certification by a doctor that they have at least one of the listed chronic conditions •Authorising the use of MediSave through the Medical Claims Authorisation FormChronic Disease Management Programme (CDMP) 23 conditions for outpatient treatment •Diabetes (including pre -diabetes) •Hypertension •Lipid disorders •Stroke •Asthma •Chronic Obstructive Pulmonary Disease  (COPD) •Schizophrenia •Major depression •Bipolar disorder •Dementia •Osteoporosis•Benign Prostatic Hyperplasia (BPH) •Anxiety •Parkinson’s disease •Chronic kidney disease (nephrosis/ nephritis) •Epilepsy •Osteoarthritis •Psoriasis •Rheumatoid arthritis •Ischaemic heart disease •Allergic rhinitis •Chronic hepatitis B •Gout 23,data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
What emerging technologies or innovations could potentially reduce the financial burden of diabetes care in the future?,"I'm sorry, I don't have specific information on emerging technologies or innovations that could potentially reduce the financial burden of diabetes care in the future. It's always a good idea to stay informed about advancements in healthcare that may impact diabetes management. You may want to consult with healthcare professionals or stay updated on reputable sources for the latest developments in this area.",".g., DPP-4 inhibitors) or  decrease weight (e.g., GLP-1 RAs, SGLT2 inhibitors) may be better options. Refer to the clinician infographic and medication table to inform prescribing decisions (see Useful  resources  on page 12). Patient involvement and education Recommendation  5Adopt a patient-centred approach to make shared decisions on T2DM  management. Healthcare professionals are encouraged to adopt a patient-centred approach6,15 which involves engaging  the patient in a tailored discussion about their T2DM and its management. Below are practical examples of a  patient-centred approach when discussing T2DM management with patients.  Progressive nature of T2DM,  its impact on the patient’s other  comorbidities and their health;  prognosis and management goals.Check the patient’s understanding about their condition. Ask about the patient’s priorities in relation to T2DM in the context of their overall health,  and what they hope to achieve. Encourage the patient to ask questions",data/01_raw/pdfs/acg-t2dm-personalising-medications.pdf
What are the key differences between type 1 and type 2 diabetes in terms of causes and symptoms?,"The key differences between Type 1 and Type 2 diabetes lie in their causes and symptoms. Type 1 diabetes is characterized by a fast onset, often over a few days, and is caused by the immune system attacking insulin-producing cells in the pancreas. On the other hand, Type 2 diabetes may not have obvious symptoms or they can be easily missed, and it is often linked to lifestyle factors such as obesity and lack of physical activity.   In terms of symptoms, both types of diabetes share common signs such as frequent urination, thirst, weight loss, hunger, blurred vision, and numbness or tingling in hands/feet. However, Type 1 diabetes can lead to serious complications like Diabetic Ketoacidosis (DKA) if symptoms are ignored, while Type 2 diabetes can result in complications such as Hyperosmolar Hyperglycaemic Syndrome (HHS) when blood sugar levels are dangerously high.","Symptoms It can be difficult to distinguish Type 1 from Type 2 diabetes. They share many similar symptoms, and the differences are slight. Symptoms that may be common to both* •Need to urinate often (especially at night) •Feels thirsty often  •Losing weight without trying •Often hungry •Blurred vision •Numbness or tingling in hands/feet How Type 1 and Type 2 diabetes present Type 1 diabetes Type 2 diabetes Fast onset, often over a few days.  When symptoms are ignored, it can lead to serious  complications such as Diabetic Ketoacidosis (DKA),  when acids known as ketones build up in the bloodstream.May not have obvious symptoms or the symptoms can  be easily missed. If ignored, they can lead to serious  complications such as Hyperosmolar Hyperglycaemic  Syndrome (HHS), when blood sugar is dangerously high  and the body becomes severely dehydrated",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-01-BeAware.pdf
Can you explain how insulin works in a healthy person versus someone with type 1 or type 2 diabetes?,"In a healthy person, insulin is produced by the pancreas and helps control blood sugar levels by moving glucose into cells to generate energy and maintain normal body functions.  In someone with Type 1 diabetes, there is a fast onset of symptoms over a few days. If left untreated, it can lead to serious complications such as Diabetic Ketoacidosis (DKA) when ketones build up in the bloodstream.  In Type 2 diabetes, symptoms may not be obvious or easily missed. If ignored, it can lead to serious complications such as Hyperosmolar Hyperglycaemic Syndrome (HHS) when blood sugar levels are dangerously high and the body becomes severely dehydrated.   Both types of diabetes can benefit from adopting a healthy lifestyle, including maintaining a healthy weight and eating a balanced diet to help manage blood sugar levels and reduce the risk of complications.","How insulin works in a healthy person Insulin is a hormone that helps control the blood sugar level in your body. It is produced by beta cells in one of our  organs called the pancreas (insulin factory). Insulin moves sugar (glucose) into the  cells, which is then used to generate energy  and maintain normal body functions. Blood vesselInsulin Sugar Cell 11",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-01-BeAware.pdf
What role does excess body fat especially internal fat around organs play in the development of type 2 diabetes?,"Excess body fat, especially internal fat around organs, plays a significant role in the development of type 2 diabetes. Over time, excess fat in the body can lead to insulin resistance, where the body cells do not respond well to insulin. This means that more insulin is needed to move sugar from the bloodstream into body cells, putting stress on the pancreas. Additionally, excess fat can lead to higher blood sugar levels, causing the pancreas to work harder to produce more insulin to control blood sugar levels. Ultimately, this can lead to the development of type 2 diabetes. It is important to maintain a healthy weight and lifestyle to reduce the risk of developing type 2 diabetes.","Fat surrounding the organs and  muscles (this is not visible to us)Where is the fat stored? Fat under the skin (this is visible to us) Fat surrounding organs Healthy Less internal fat More internal fat even though  the person appears to have less fat  under the skin. If you are TOFI,  you are also at risk of diabetes.TOFI (Thin Outside, Fat Inside)  You are likely to have excess internal fat if you have an apple -shaped body.Excess (unused) sugar in your body is stored as fat There may be excess fat in your  body even if you look thin 15",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-01-BeAware.pdf
Are there any common myths or misconceptions about diabetes that need to be clarified?,"Yes, there are common myths and misinformation about diabetes that need to be clarified. It is important to have accurate information about the condition to provide better support to loved ones with diabetes. Some myths include beliefs that only overweight people get diabetes, that diabetes is not a serious condition, or that people with diabetes cannot eat sugar at all. It is important to educate ourselves and others to dispel these myths and provide accurate information about diabetes management.","1. Learn about diabetes Here are some key areas of diabetes  management:Myths and misinformation about diabetes are common. For those whose loved ones have diabetes, you can provide  better support if you have accurate information about the condition. Consider accompanying your loved ones if he or  she is attending a diabetes education class. •Medication adherence •Monitoring ofblood sugar •Eating habits/ diet •Exercise -stay active •Sleep patterns •Stress management •Skills forproblem -solving •Social support •Spirituality –healthy sense ofpurpose and meaning inlife 4",data/01_raw/pdfs/DiabetesHub-NDRM2023-En-04-Support.pdf
